schedule_index,part_id,layer_id,layer_label,base_start_cell_id,base_end_cell_id,candidate_count,best_fixed_start_cell_id,best_fixed_end_cell_id,best_layer_total_time_s,best_delta_time_percent,worst_fixed_start_cell_id,worst_fixed_end_cell_id,worst_layer_total_time_s,worst_delta_time_percent,mean_delta_time_percent,std_delta_time_percent,mean_path_difference_rate
1,part_A,1,1:A1,L01_C015,L01_C010,1406,L01_C001,L01_C002,0.877556,0.000000,L01_C002,L01_C017,0.879397,0.209787,0.085347,0.072581,0.654781
2,part_B,1,2:B1,L01_C028,L01_C013,756,L01_C001,L01_C023,0.623889,0.000000,L01_C003,L01_C010,0.628858,0.796465,0.353151,0.197245,0.661523
3,part_A,2,3:A2,L02_C005,L02_C030,1406,L02_C001,L02_C002,0.877556,0.000000,L02_C002,L02_C017,0.879397,0.209787,0.085347,0.072581,0.668909
4,part_B,2,4:B2,L02_C028,L02_C013,756,L02_C001,L02_C023,0.623889,0.000000,L02_C003,L02_C010,0.628858,0.796465,0.353151,0.197245,0.662796
5,part_A,3,5:A3,L03_C030,L03_C022,1482,L03_C001,L03_C003,0.903444,0.000000,L03_C002,L03_C004,0.905285,0.203776,0.105050,0.071046,0.653828
6,part_B,3,6:B3,L03_C028,L03_C013,756,L03_C001,L03_C023,0.623889,0.000000,L03_C003,L03_C010,0.628858,0.796465,0.353151,0.197245,0.664903
7,part_A,4,7:A4,L04_C030,L04_C022,1482,L04_C001,L04_C003,0.903444,0.000000,L04_C002,L04_C004,0.905285,0.203776,0.105050,0.071046,0.653899
8,part_B,4,8:B4,L04_C026,L04_C020,650,L04_C001,L04_C021,0.579444,0.000000,L04_C003,L04_C009,0.584414,0.857555,0.374705,0.216379,0.596185
9,part_A,5,9:A5,L05_C023,L05_C039,1482,L05_C002,L05_C016,0.903444,0.000000,L05_C001,L05_C003,0.905285,0.203776,0.105050,0.071046,0.668673
10,part_B,5,10:B5,L05_C026,L05_C020,650,L05_C001,L05_C021,0.579444,0.000000,L05_C003,L05_C009,0.584414,0.857555,0.374705,0.216379,0.598154
11,part_A,6,11:A6,L06_C023,L06_C039,1482,L06_C002,L06_C016,0.903444,0.000000,L06_C001,L06_C003,0.905285,0.203776,0.105050,0.071046,0.669490
12,part_B,6,12:B6,L06_C026,L06_C020,650,L06_C001,L06_C021,0.579444,0.000000,L06_C003,L06_C009,0.584414,0.857555,0.374705,0.216379,0.596308
