schedule_index,part_id,layer_id,layer_label,base_start_cell_id,candidate_count,base_layer_total_time_s,best_fixed_start_cell_id,best_layer_total_time_s,best_delta_time_percent,worst_fixed_start_cell_id,worst_layer_total_time_s,worst_delta_time_percent,mean_delta_time_percent,std_delta_time_percent,mean_path_difference_rate
1,part_A,1,1:A1,L01_C015,38,0.877556,L01_C001,0.877556,0.000000,L01_C001,0.877556,0.000000,0.000000,0.000000,0.591038
2,part_B,1,2:B1,L01_C028,28,0.623889,L01_C001,0.623889,0.000000,L01_C002,0.624809,0.147542,0.010539,0.037998,0.728836
3,part_A,2,3:A2,L02_C005,38,0.877556,L02_C001,0.877556,0.000000,L02_C001,0.877556,0.000000,0.000000,0.000000,0.645092
4,part_B,2,4:B2,L02_C028,28,0.623889,L02_C001,0.623889,0.000000,L02_C002,0.624809,0.147542,0.010539,0.037998,0.715608
5,part_A,3,5:A3,L03_C030,39,0.903444,L03_C001,0.903444,0.000000,L03_C002,0.904365,0.101888,0.049638,0.050927,0.682186
6,part_B,3,6:B3,L03_C028,28,0.623889,L03_C001,0.623889,0.000000,L03_C002,0.624809,0.147542,0.010539,0.037998,0.710317
7,part_A,4,7:A4,L04_C030,39,0.903444,L04_C001,0.903444,0.000000,L04_C002,0.904365,0.101888,0.049638,0.050927,0.691633
8,part_B,4,8:B4,L04_C026,26,0.579444,L04_C001,0.579444,0.000000,L04_C002,0.580365,0.158859,0.012220,0.042331,0.589231
9,part_A,5,9:A5,L05_C023,39,0.903444,L05_C002,0.903444,0.000000,L05_C001,0.904365,0.101888,0.049638,0.050927,0.659919
10,part_B,5,10:B5,L05_C026,26,0.579444,L05_C001,0.579444,0.000000,L05_C002,0.580365,0.158859,0.012220,0.042331,0.583077
11,part_A,6,11:A6,L06_C023,39,0.903444,L06_C002,0.903444,0.000000,L06_C001,0.904365,0.101888,0.049638,0.050927,0.661943
12,part_B,6,12:B6,L06_C026,26,0.579444,L06_C001,0.579444,0.000000,L06_C002,0.580365,0.158859,0.012220,0.042331,0.592308
