scheme_name,layer_count,travel_distance_mm,travel_time_s,scan_time_s,laser_on_time_s,intra_layer_total_time_s,inter_layer_change_time_s,inter_part_transfer_distance_mm,inter_part_transfer_time_s,total_task_time_s,cell_count,mu_mean,mu_top10_mean,xi_mean,xi_max,theta_mean,theta_top10_mean,phi_mean,phi_top10_mean,phi_max,scan_heat_mean,peak_heat_max,final_heat_mean,R_mu,R_xi,R_theta,R_phi,weighted_sum_total_risk,weighted_sum_rank,topsis_score,topsis_rank,parameter_name,parameter_value
center_out,12,6201.720900000001,3.4454005,2.2066666666666666,5.91,11.562067166666667,7.5,300.0,0.16666666666666666,19.228733833333333,394,0.0025431651597497447,0.006178670844599681,10.534621738896806,23.527418616390612,10.250006315085585,100.96256220359301,0.00019305774378296816,0.00027744780886043236,0.0003143192739638779,0.001051933880703887,0.002010697700589048,0.0015684085673339338,0.00604807933735908,11.284571301971633,55.41431460683401,0.00023809561330076647,21.653193512557024,4,0.07375004008150152,4,A_0,2.0
minimum_time,12,1552.0,0.8622222222222222,2.2066666666666666,5.91,8.97888888888889,7.5,300.0,0.16666666666666666,16.645555555555557,394,0.0025366649500489532,0.005250988786871379,11.405725347328378,24.20902402695436,8.020569704721566,77.35261159150744,0.00013661738546896592,0.0002403540942745535,0.0003276108221457967,0.0010580085132763334,0.002197070022102752,0.0016181548271926428,0.005153487181395452,12.144736996724232,42.539867321248416,0.00020329405882731714,17.318982482732775,3,0.4968007943949551,3,A_0,2.0
row_major,12,2789.6817,1.5498231666666666,2.2066666666666666,5.91,9.666489833333333,7.5,300.0,0.16666666666666666,17.3331565,394,0.002471246821020156,0.005408008712284218,11.74980694798387,24.10193199135026,5.227703572806057,51.49288019213966,0.00014857675850370164,0.00023239929748140263,0.00026589687887976324,0.0010566099608751401,0.0021512272296354074,0.0016075177075269833,0.005302516878401208,12.462776670104631,28.262383607353534,0.00019246834346833513,12.38549821705621,2,0.9234276380499788,2,A_0,2.0
serpentine,12,1900.7531999999999,1.055974,2.2066666666666666,5.91,9.172640666666666,7.5,300.0,0.16666666666666666,16.839307333333334,394,0.002484239336518676,0.005378761054568168,11.750350089729013,24.01257106623667,5.227703572806057,51.49288019213966,0.00014718931529363044,0.00024618379230644135,0.0002689948468934128,0.0010576936280689614,0.00215849268976253,0.0016140248262507895,0.005274786535844142,12.458130512248227,28.262383607353534,0.000194506103633567,12.384563948856458,1,0.9239181803922529,1,A_0,2.0
center_out,12,6201.720900000001,3.4454005,2.2066666666666666,5.91,11.562067166666667,7.5,300.0,0.16666666666666666,19.228733833333333,394,0.00306333377896134,0.006961728994053307,9.08758581227746,20.898584715321928,9.129666000392222,89.92721010386337,0.0002328316896576457,0.00033324095634150116,0.0003662601480381517,0.0012648210698071936,0.0021825174907537563,0.0017631944639063127,0.006830885644949665,9.472598694193767,49.528438052127846,0.0002982120470921309,19.230913787224264,4,0.059806975888672335,4,A_0,3.0
minimum_time,12,1552.0,0.8622222222222222,2.2066666666666666,5.91,8.97888888888889,7.5,300.0,0.16666666666666666,16.645555555555557,394,0.0030635744452348385,0.006068877039930029,9.954217494073422,20.642467746903023,5.41955088426205,53.382576209981195,0.000161398135507719,0.0002939422715867421,0.00044835442714328606,0.00127089570237964,0.002405151273669864,0.001817491262952361,0.005968008904488686,10.302631211343677,29.401063547121655,0.0002928051326045022,12.352165286825363,3,0.7103984976729276,3,A_0,3.0
row_major,12,2789.6817,1.5498231666666666,2.2066666666666666,5.91,9.666489833333333,7.5,300.0,0.16666666666666666,17.3331565,394,0.0029985222679073955,0.0062936293212029,10.084503057911338,20.54675512263671,4.159537065590846,40.97144009606983,0.0001737660617357584,0.0002745304962261998,0.0003268090753393944,0.0012694971499784466,0.002342467725368489,0.0018057260968589932,0.0061830343664278885,10.425549725669171,22.565488580830362,0.00024716809383798873,9.984329347321204,2,0.935380275426105,2,A_0,3.0
serpentine,12,1900.7531999999999,1.055974,2.2066666666666666,5.91,9.172640666666666,7.5,300.0,0.16666666666666666,16.839307333333334,394,0.0030117002964872674,0.006268123221907026,10.08579287782327,20.466926438048393,4.113851786403028,40.52144009606983,0.00017175519235440668,0.0002942588261095207,0.00032224775016991984,0.001270580817172268,0.002350664273060403,0.001812955234719661,0.006158826637504731,10.424195258721815,22.317645941236457,0.000246518010785879,9.897308526007318,1,0.9373101982998228,1,A_0,3.0
center_out,12,6201.720900000001,3.4454005,2.2066666666666666,5.91,11.562067166666667,7.5,300.0,0.16666666666666666,19.228733833333333,394,0.003584953882992413,0.007769197913643007,7.750457597835978,18.294108308708417,9.891349496335634,95.379792538906,0.00027383564423321175,0.000390962753182034,0.0004319740683374129,0.0014777082589105001,0.002354337280918463,0.001957980360478692,0.007632979750184986,8.051689443255146,51.51631568945827,0.0003586664556838894,19.642664642525375,4,0.08162639871391103,4,A_0,4.0
minimum_time,12,1552.0,0.8622222222222222,2.2066666666666666,5.91,8.97888888888889,7.5,300.0,0.16666666666666666,16.645555555555557,394,0.0035915329458760326,0.006925553362454406,8.496034478650214,18.062419579600537,6.244273080053569,61.50608983852766,0.0001873667466620926,0.00035394507997401546,0.000569143122745806,0.0014837828914829468,0.002613232525236976,0.002016827698712079,0.006817014248877123,8.769345869265434,33.15166748886932,0.000380939208016933,13.358411432609127,3,0.593975398697498,3,A_0,4.0
row_major,12,2789.6817,1.5498231666666666,2.2066666666666666,5.91,9.666489833333333,7.5,300.0,0.16666666666666666,17.3331565,394,0.0035268555692417256,0.007181995681418807,8.712774744474132,17.975900335125242,4.221553065980977,41.58229769991262,0.00019974018404306416,0.00031867047620331507,0.00039177263256755723,0.0014823843390817533,0.0025337082211015715,0.002003934486191003,0.007063002508550471,8.977422018225717,22.412780756990454,0.00030050174182094734,9.641445394528967,2,0.9303937207544091,2,A_0,4.0
serpentine,12,1900.7531999999999,1.055974,2.2066666666666666,5.91,9.172640666666666,7.5,300.0,0.16666666666666666,16.839307333333334,394,0.003540298569499876,0.007160843428322609,8.713858895542838,17.903766278001324,4.160639360397221,40.98229769991262,0.00019712535727403756,0.00034344145096287386,0.0003877028515985415,0.0014834680062755748,0.002542835856358274,0.0020118856431885325,0.007042976504746087,8.976414326859866,22.089381878187694,0.00029985635871641154,9.528050082128294,1,0.9323349939885555,1,A_0,4.0
center_out,12,6201.720900000001,3.4454005,2.2066666666666666,5.91,11.562067166666667,7.5,300.0,0.16666666666666666,19.228733833333333,394,0.004107899129125981,0.008587924371384722,7.0947339063371,16.451013065119156,8.833184372729201,87.00686607138263,0.0003151565708921143,0.0004500778243285052,0.0005110432194506399,0.0016905954480138069,0.0025261570710831713,0.0021527662570510705,0.00844161314534853,7.5941933856542825,48.70508151035022,0.00042481765525584575,18.567411732796312,4,0.10447118477848605,4,A_0,5.0
minimum_time,12,1552.0,0.8622222222222222,2.2066666666666666,5.91,8.97888888888889,7.5,300.0,0.16666666666666666,16.645555555555557,394,0.004120202340582282,0.007798414121791164,7.564300394762339,16.237045092503344,6.24173500898758,61.48108983852766,0.00021381578716955587,0.00041800983944572593,0.0006904085141134884,0.0016966700805862533,0.002821313776804088,0.002216164134471797,0.007678288978242172,8.02727124861066,34.41615158824292,0.0004688003013899626,13.652760163478149,3,0.5164242031034527,3,A_0,5.0
row_major,12,2789.6817,1.5498231666666666,2.2066666666666666,5.91,9.666489833333333,7.5,300.0,0.16666666666666666,17.3331565,394,0.0040560456693135025,0.00807204129311029,7.715318391446418,16.158107912652103,4.658101289331231,44.48229769991262,0.00022668896133418016,0.00036357974676223527,0.00045673618979571936,0.0016952715281850599,0.0027249487168346533,0.0022021428755230124,0.007940884611685557,8.166013714521288,24.97013250454351,0.0003534196479814746,10.374425651328817,2,0.9067555926607254,2,A_0,5.0
serpentine,12,1900.7531999999999,1.055974,2.2066666666666666,5.91,9.172640666666666,7.5,300.0,0.16666666666666666,16.839307333333334,394,0.004069763275497913,0.008055761639943685,7.753232765084747,16.092315532969305,4.160639360397221,40.98229769991262,0.0002234207876211933,0.0003930946634697289,0.00045315795302716336,0.0016963551953788813,0.002735007439656146,0.0022108160516574036,0.007925584626167244,8.198391985598288,22.94124866327303,0.0003531217704789102,9.670788826633073,1,0.9435513393103174,1,A_0,5.0
center_out,12,6201.720900000001,3.4454005,2.2066666666666666,5.91,11.562067166666667,7.5,300.0,0.16666666666666666,19.228733833333333,394,0.004632113749121304,0.009424169163694061,6.372030679973955,15.008220326769415,9.214755136379841,89.81533809334144,0.00035712953653394865,0.000509752335454027,0.0005901123705638674,0.0019034826371171136,0.002697976861247881,0.0023475521536234496,0.009267741006839955,6.7858892571479545,49.53917421474348,0.0004907211220141751,18.69786505507168,4,0.12060697997348062,4,A_0,6.0
minimum_time,12,1552.0,0.8622222222222222,2.2066666666666666,5.91,8.97888888888889,7.5,300.0,0.16666666666666666,16.645555555555557,394,0.0046497960811382475,0.00868019690629207,6.779437915638274,14.811390196865663,6.843337446975573,63.1318738527094,0.00024042011092865196,0.00048342004598800304,0.0008116739054811708,0.00190955726968956,0.0030293950283711998,0.0024155005702315153,0.008548631613757093,7.164340572827103,35.00445549427988,0.0005551852021113474,13.686276060186657,3,0.4967740899588712,3,A_0,6.0
row_major,12,2789.6817,1.5498231666666666,2.2066666666666666,5.91,9.666489833333333,7.5,300.0,0.16666666666666666,17.3331565,394,0.0045864093077632815,0.008965699177116374,6.971571909915182,14.738813254783725,4.642872862935292,44.38229769991263,0.0002539845868410909,0.0004091507984570602,0.0005216997470238822,0.0019081587172883666,0.0029161892125677364,0.0024003512648550222,0.008822745020010944,7.343789239897872,24.524481187220978,0.00040552177287819785,10.054192192954138,2,0.909403429865831,2,A_0,6.0
serpentine,12,1900.7531999999999,1.055974,2.2066666666666666,5.91,9.172640666666666,7.5,300.0,0.16666666666666666,16.839307333333334,394,0.004600234776104524,0.00895244574174737,7.005452475889905,14.678337601404298,4.145410934001282,40.83229769991262,0.0002500553899622591,0.0004428186347983599,0.0005186130544557854,0.001909242384482188,0.002927179022954018,0.002409746460126275,0.008810375527466168,7.373148120698172,22.499836452474604,0.0004056864887741608,9.351435879233433,1,0.9424515458783004,1,A_0,6.0
